A, 20640091, AGILENT TECHNOLOGIES  INC
AA, 10106008, ALCOA CORP
AAAP, -10, -10
AABA, 10319042, ALTABA INC
AAC, 20638089, AAC HOLDINGS INC
AAL, 31053108, AMERICAN AIRLINES GROUP INC
AAMC, 10319042, ALTISOURCE ASSET MANAGEMENT
AAME, 10324058, ATLANTIC AMERICAN CORP
AAN, 31056111, AARON RENTS INC CL-A
AAOI, 31169147, APPLIED OPTOELECTRONICS INC
AAON, 10102002, AAON INC
AAP, 10217037, ADVANCE AUTO PARTS INC
AAPL, 31167138, APPLE INC
AAT, 10428070, AMERICAN ASSETS TRUST INC
AAU, 10106010, ALMADEN MINERALS LTD
AAV, 30947102, ADVANTAGE ENERGY INCOME TR UNIT
AAWW, 31062123, ATLAS AIR WORLDWIDE HOLDINGS INC
AAXN, 31052107, AXON ENTERPRISE INC
AB, 10319042, ALLIANCEBERNSTEIN HOLDING L.P.  UT LTD PARTNERSHIP INTS
ABAC, -10, -10
ABAX, 20640091, ABAXIS INC
ABB, 31061119, ABB LTD ADS ( 1 REG SHS)
ABBV, 20636085, ABBVIE INC
ABC, 20641092, AMERISOURCEBERGEN CORP
ABCB, 10320050, AMERIS BANCORP
ABCD, 20532078, CAMBIUM LEARNING GROUP INC
ABCO, -10, -10
ABDC, 10319042, ALCENTRA CAPITAL CORP
ABE, -10, -10
ABEO, 20635084, ABEONA THERAPEUTICS INC
ABEOW, -10, -10
ABEV, 20529071, AMBEV SA
ABG, 10209016, ASBURY AUTOMOTIVE GROUP INC.
ABIL, 31166135, ABILITY INC
ABIO, 20635084, ARCA BIOPHARMA INC
ABLX, -10, -10
ABM, 31054109, ABM INDUSTRIES INC
ABMD, 20639090, ABIOMED INC
ABR, 10428064, ARBOR REALTY TRUST INC
ABR_A, -10, -10
ABR_B, -10, -10
ABR_C, -10, -10
ABRN, -10, -10
ABT, 20639090, ABBOTT LABORATORIES
ABTX, 10320050, ALLEGIANCE BANCSHARES INC COM
ABUS, 20635084, ARBUTUS BIOPHARMA CORP
ABX, -10, -10
ABY, -10, -10
AC, 10321053, ASSOCIATED CAP GROUP INC CLASS A
ACAD, 20635084, ACADIA PHARMACEUTICALS INC
ACBI, 10320050, ATLANTIC CAP BANCSHARES INC
ACC, 10428069, AMERICAN CAMPUS COMMUNITIES INC COM
ACCO, 31061118, ACCO BRANDS CORPORATION
ACER, 20635084, ACER THERAPEUTICS INC
ACERW, -10, -10
ACET, 20636086, ACETO CORP
ACFC, -10, -10
ACGL, 10323057, ARCH CAPITAL GROUP LTD
ACGLO, -10, -10
ACGLP, -10, -10
ACH, 10106008, Aluminum Corporation Of China Limited.
ACHC, 20638089, ACADIA HEALTHCARE CO INC
ACHN, 20635084, ACHILLION PHARMACEUTICALS INC
ACHV, 20635084, ACHIEVE LIFE SCIENCES INC.
ACIA, 31166135, APRECIA INC
ACIU, 20635084, AC IMMUNE SA
ACIW, 31165133, ACI WORLDWIDE INC
ACLS, 31169145, AXCELIS TECHNOLOGIES INC
ACM, 31058114, AECOM
ACMR, 31169145, ACM RESEARCH INC
ACN, 31165132, ACCENTURE PLC
ACNB, 10320050, ACNB CORP
ACOR, 20635084, ACORDA THERAPEUTICS INC
ACP, 10319042, ABERDEEN INCOME CREDIT STRATEGIES FUND
ACRE, 10428064, ARES COMMERCIAL REAL ESTATE CORP
ACRS, 20635084, ACLARIS THERAPEUTICS INC COM
ACRX, 20639090, ACELRX PHARMACEUTICALS INC
ACSF, 10319042, AMERICAN CAPITAL SENIOR FLOATING LTD
ACSI, -1, CSAT INVESTMENT ADVISORY LP - AMERICAN CUSTOMER SATISFACTION CORE ALPHA ETF
ACST, 20635084, ACASTI PHARMA INC
ACTA, -10, -10
ACTG, 31054109, ACACIA RESEARCH - ACACIA TECHNOLOGIES
ACU, 20531076, ACME UNITED CORPORATION
ACV, 10319042, ALLIANZGI DICERSIFIED INCOME & CONVERTIBLE FND COM SHS (MA)
ACXM, -10, -10
ACY, 31056111, AEROCENTURY CORP
ADAP, 20635084, ADAPTIMMUNE THERAPEUTICS PLC SPONSORED ADR (GBR)
ADBE, 31165133, ADOBE INC
ADC, 10428070, AGREE REALTY CORP
ADES, 31061121, ADVANCED EMISSIONS SOLUTIONS INC
ADHD, -10, -10
ADI, 31169147, ANALOG DEVICES INC
ADM, 20531075, ARCHER DANIELS MIDLAND CO
ADMA, 20635084, ADMA BIOLOGICS INC
ADMP, 20636086, ADAMIS PHARMACEUTICALS CORP
ADMS, 20636086, ADAMAS PHARMACEUTICALS INC
ADNT, 10209018, ADIENT PLC ORD SHS (IRL)
ADOM, 10209018, ADOMANI INC.
ADP, 31054109, AUTOMATIC DATA PROCESSING INC
ADRO, 20635084, ADURO BIOTECH INC
ADS, 10322056, ALLIANCE DATA SYSTEMS CORP
ADSK, 31165133, AUTODESK INC
ADSW, 31064129, ADVANCED DISPOSAL SERVICES INC
ADTN, 31166135, ADTRAN INC
ADUS, 20638089, ADDUS HOMECARE CORP
ADVM, 20635084, ADVERUM BIOTECHNOLOGIES INC
ADX, 10319042, ADAMS DIVERSIFIED EQUITY FUND
ADXS, 20635084, ADVAXIS INC
ADXSW, -10, -10
AE, 30948103, ADAMS RES & ENERGY NEW
AEB, 10323057, AEGON NV
AED, 10323057, AEGON NV PERP CAP SECURITIES (NETHERLANDS)
AEE, 20744096, AMEREN CORP
AEG, 10323057, AEGON NV -ORD-
AEGN, 31058114, AEGION CORP
AEH, 10323057, AEGON N.V. PERP.CAP SECS
AEHR, 31169145, AEHR TEST SYSTEMS
AEIS, 31167141, ADVANCED ENERGY INDUSTRIES INC
AEK, -10, -10
