A	2064	 AGILENT TECHNOLOGIES  INC
AA	1010	 ALCOA CORP
AAAP	-1	 -10
AABA	1031	 ALTABA INC
AAC	2063	 AAC HOLDINGS INC
AAL	3105	 AMERICAN AIRLINES GROUP INC
AAMC	1031	 ALTISOURCE ASSET MANAGEMENT
AAME	1032	 ATLANTIC AMERICAN CORP
AAN	3105	 AARON RENTS INC CL-A
AAOI	3116	 APPLIED OPTOELECTRONICS INC
AAON	1010	 AAON INC
AAP	1021	 ADVANCE AUTO PARTS INC
AAPL	3116	 APPLE INC
AAT	1042	 AMERICAN ASSETS TRUST INC
AAU	1010	 ALMADEN MINERALS LTD
AAV	3094	 ADVANTAGE ENERGY INCOME TR UNIT
AAWW	3106	 ATLAS AIR WORLDWIDE HOLDINGS INC
AAXN	3105	 AXON ENTERPRISE INC
AB	1031	 ALLIANCEBERNSTEIN HOLDING L.P.  UT LTD PARTNERSHIP INTS
ABAC	-1	 -10
ABAX	2064	 ABAXIS INC
ABB	3106	 ABB LTD ADS ( 1 REG SHS)
ABBV	2063	 ABBVIE INC
ABC	2064	 AMERISOURCEBERGEN CORP
ABCB	1032	 AMERIS BANCORP
ABCD	2053	 CAMBIUM LEARNING GROUP INC
ABCO	-1	 -10
ABDC	1031	 ALCENTRA CAPITAL CORP
ABE	-1	 -10
ABEO	2063	 ABEONA THERAPEUTICS INC
ABEOW	-1	 -10
ABEV	2052	 AMBEV SA
ABG	1020	 ASBURY AUTOMOTIVE GROUP INC.
ABIL	3116	 ABILITY INC
ABIO	2063	 ARCA BIOPHARMA INC
ABLX	-1	 -10
ABM	3105	 ABM INDUSTRIES INC
ABMD	2063	 ABIOMED INC
ABR	1042	 ARBOR REALTY TRUST INC
ABR_A	-1	 -10
ABR_B	-1	 -10
ABR_C	-1	 -10
ABRN	-1	 -10
ABT	2063	 ABBOTT LABORATORIES
ABTX	1032	 ALLEGIANCE BANCSHARES INC COM
ABUS	2063	 ARBUTUS BIOPHARMA CORP
ABX	-1	 -10
ABY	-1	 -10
AC	1032	 ASSOCIATED CAP GROUP INC CLASS A
ACAD	2063	 ACADIA PHARMACEUTICALS INC
ACBI	1032	 ATLANTIC CAP BANCSHARES INC
ACC	1042	 AMERICAN CAMPUS COMMUNITIES INC COM
ACCO	3106	 ACCO BRANDS CORPORATION
ACER	2063	 ACER THERAPEUTICS INC
ACERW	-1	 -10
ACET	2063	 ACETO CORP
ACFC	-1	 -10
